"link","date","content"
"http://twitter.com/ultop_ru/statuses/321866068157149185","2013-04-10","Ура, товарищи! Всероссийская бесплатная ""Стачка"" уже в пятницу, мемцентр! Доклады для широкого круга: ultop.ru/news/9909/ #nastachku #ulnУра, товарищи! Всероссийская бесплатная ""Стачка"" уже в пятницу, мемцентр! Доклады для широкого круга: ultop.ru/news/9909/ #nastachku #ulnоригинал сохранённая копия9 ч. 16 мин. назадultop_ruв избранноеретвитответить"
"http://vk.com/wall-36051360_194","2013-04-10","Михаил Казаков (Pichesky)<br><br>Секция: Digital-коммуникации<br><br>Доклад ... показать полный текст  http://www.nastachku.ru/#оригинал сохранённая копияпоказать полный текст9 ч. 23 мин. назадНа стачкуvk.com/nastachku"
"http://twitter.com/zevlg/statuses/321739946002096128","2013-04-10","@cynepkot @anya_ane4ka фига вы мутанули в каканистый вторник. До #nastachku же ещё 3 дня, доживёте?@cynepkot @anya_ane4ka фига вы мутанули в каканистый вторник. До #nastachku же ещё 3 дня, доживёте?оригинал сохранённая копия17 ч. 37 мин. назадzevlgв избранноеретвитответить"
"http://twitter.com/buxler/statuses/321727126174826497","2013-04-10","Иду на доклад 'Контент-маркетинг. Как привлечь клиента, если он больше не хочет видеть рекламу?' nastachku.ru/lectures?works... #nastachkuИду на доклад 'Контент-маркетинг. Как привлечь клиента, если он больше не хочет видеть рекламу?' nastachku.ru/lectures?works... #nastachkuоригинал сохранённая копия18 ч. 28 мин. назадbuxlerв избранноеретвитответить"
"http://twitter.com/buxler/statuses/321724895371341824","2013-04-10","Выступаю с докладом “SMM - это вам не MMM, или Почему не все «лайки» одинаково полезны?” nastachku.ru/lectures?works... #nastachku первый день,14:15Выступаю с докладом “SMM - это вам не MMM, или Почему не все «лайки» одинаково полезны?” nastachku.ru/lectures?works... #nastachku первый день,14:15оригинал сохранённая копия18 ч. 37 мин. назадbuxlerв избранноеретвитответить"
"http://twitter.com/GEN_DIR/statuses/321698495964782592","2013-04-09","Выступаю с докладом 'Формы digital-коммуникаций. Как выбрать самый короткий путь к цели?' nastachku.ru/lectures?works... #nastachku утром 13-гоВыступаю с докладом 'Формы digital-коммуникаций. Как выбрать самый короткий путь к цели?' nastachku.ru/lectures?works... #nastachku утром 13-гооригинал сохранённая копиявчера, 22:57gen_dirв избранноеретвитответить"
"http://twitter.com/alexnosov/statuses/321670956714180608","2013-04-09","@YuriyGorlov Может, мне взять #uburu на @nastachku в Ульяновск, пофоткать? ;)@YuriyGorlov Может, мне взять #uburu на @nastachku в Ульяновск, пофоткать? ;)оригинал сохранённая копиявчера, 21:08alexnosovв избранноеретвитответить"
"http://twitter.com/73Lion123/statuses/321635507870253056","2013-04-09","Мне нравится конференция СТАЧКА - 2013! nastachku.ru #nastachku via @nastachkuМне нравится конференция СТАЧКА - 2013! nastachku.ru #nastachku via @nastachkuоригинал сохранённая копиявчера, 18:4773lion123в избранноеретвитответить"
"http://vk.com/wall-46312385_243","2013-04-09","На Стачке свой доклад прочитает генеральный директор компании ИТМ Камиль ... показать полный тексторигинал сохранённая копияпоказать полный текствчера, 18:32itmfuturevk.com/itmfuture"
"http://twitter.com/Wolf_Musing/statuses/321562741871632384","2013-04-09","""@MosaicaNews Силиконовая долина в #ulsk habrahabr.ru/post/175983/#c..."" #nastachku @Deadlinecamp""@MosaicaNews Силиконовая долина в #ulsk habrahabr.ru/post/175983/#c..."" #nastachku @Deadlinecampоригинал сохранённая копиявчера, 13:58wolf_musingв избранноеретвитответить"
