link	date	content
http://twitter.com/_vsv_/statuses/321415756086657024	2013-04-09 04:14:22 +0400	@levwalkin @nastachku про Azure особенно порадовало
http://twitter.com/ulstu/statuses/321346890081914880	2013-04-08 23:40:43 +0400	RT @GEN_DIR: Полпред ПФО Бабич и губернатор УО тоже придут #nastachku
http://twitter.com/torodea/statuses/321340227589398528	2013-04-08 23:14:15 +0400	"RT @kostya_sokolov: Приходите послушать мой второй интересный доклад #nastachku о скевоморфизме и плоском дизайне в пятницу в 18:00! <a href=""http://t.co/kLuJlvApbS"">nastachku.ru/schedule</a>"
http://twitter.com/alexnosov/statuses/321339884147191810	2013-04-08 23:12:53 +0400	Думал поехать @nastachku и изучить для клиентов оба аэропорта и авиакомпании «Полёт» и UTair. Рейс отменили, так что только хардкор, UTair.
http://twitter.com/GEN_DIR/statuses/321335936636030976	2013-04-08 22:57:12 +0400	Полпред ПФО Бабич и губернатор УО тоже придут #nastachku
http://twitter.com/kuzma_73/statuses/321259946215886848	2013-04-08 17:55:14 +0400	. @dmitriystepanov #nastachku нагуй гламур. Только @HYTPb ! Только hardcore!
http://vk.com/wall-36051360_186	2013-04-08 17:40:16 +0400	""
http://twitter.com/dmitriystepanov/statuses/321255305633746944	2013-04-08 17:36:48 +0400	А кто-нибудь собирается на афтерпати после #nastachku ?
http://twitter.com/allintop/statuses/321231589126311936	2013-04-08 16:02:33 +0400	@AlexTachalova @nastachku посмотрим
http://twitter.com/AlexTachalova/statuses/321231063395467265	2013-04-08 16:00:28 +0400	@allintop @nastachku Ничего в Ульяновске обещают,что будет посолнечнее)
http://twitter.com/allintop/statuses/321230574356410368	2013-04-08 15:58:31 +0400	@AlexTachalova @nastachku ну у нас неделю назад было покруче :)
http://twitter.com/alexnosov/statuses/321229879133757441	2013-04-08 15:55:46 +0400	@rakotomancer Ненене! @nastachku ждёт меня. С новыми авиабилетами выступать лечу. Теперь UTair!
http://twitter.com/AlexTachalova/statuses/321229759675768833	2013-04-08 15:55:17 +0400	"@allintop @nastachku Дело идет в гору в отличие от Питерской весны:) <a href=""http://t.co/r1KYYKFLqk"">pic.twitter.com/r1KYYKFLqk</a>"
http://twitter.com/allintop/statuses/321229194875002880	2013-04-08 15:53:02 +0400	@AlexTachalova @nastachku молодца :)
http://twitter.com/AlexTachalova/statuses/321228964662226944	2013-04-08 15:52:08 +0400	"Скоро выступать на @nastachku. Есть уже немного контента:) <a href=""http://t.co/IIGyPEEJ6Q"">pic.twitter.com/IIGyPEEJ6Q</a>"
http://twitter.com/alexnosov/statuses/321228471579836418	2013-04-08 15:50:10 +0400	@OneTwoTrip @ikozlov Ща забукаю и дам ) Полетите со мной #nastachku про SMM рассказывать?))
http://twitter.com/nastachku/statuses/321225314963423233	2013-04-08 15:37:37 +0400	"Анна Казакова@AnnetKazakova (<a href=""http://t.co/OHGZozjInc"">cm-lab.ru</a>) откроет #nastachku секрет-как привлечь клиента,если он больше не хочет видеть рекламу."
http://twitter.com/alexnosov/statuses/321221135851200512	2013-04-08 15:21:01 +0400	Летайте авиакомпанией «Полёт» #nastachku! Отменили рейс Москва-Ульяновск, теперь куча гемороя!
http://twitter.com/JetP1L0t/statuses/321196405890904064	2013-04-08 13:42:45 +0400	"RT @levwalkin: Пропаганда самоубийств, смерти и угасания на @nastachku (смотрите, пока сайт не заблокировали власти): <a href=""http://t.co/pVQ2tWcRI1"">pic.twitter.com/pVQ2tWcRI1</a>"
http://twitter.com/plugin73/statuses/321192854305251328	2013-04-08 13:28:38 +0400	"RT @nastachku: Бьем рекорды! Нас 2500! До конференции меньше недели, не упусти последний шанс попасть в список участников <a href=""http://t.co/TDZrHY8s7J"">nastachku.ru/users/new</a> #nastachku"
http://twitter.com/zzetorg/statuses/321185164644458496	2013-04-08 12:58:05 +0400	Присединился к участникам афтепати #nastachku :)
http://twitter.com/alexnosov/statuses/321183154968883200	2013-04-08 12:50:06 +0400	@nastachku Офигенная аудитория для наших выступлений собирается #nastachku!
http://twitter.com/alexnosov/statuses/321183085708320768	2013-04-08 12:49:49 +0400	"RT @nastachku: Бьем рекорды! Нас 2500! До конференции меньше недели, не упусти последний шанс попасть в список участников <a href=""http://t.co/TDZrHY8s7J"">nastachku.ru/users/new</a> #nastachku"
http://twitter.com/darya_pr/statuses/321180193958014977	2013-04-08 12:38:20 +0400	"RT @nastachku: Бьем рекорды! Нас 2500! До конференции меньше недели, не упусти последний шанс попасть в список участников <a href=""http://t.co/TDZrHY8s7J"">nastachku.ru/users/new</a> #nastachku"
http://twitter.com/edu_v_it/statuses/321179172145872896	2013-04-08 12:34:16 +0400	"RT @nastachku: Бьем рекорды! Нас 2500! До конференции меньше недели, не упусти последний шанс попасть в список участников <a href=""http://t.co/TDZrHY8s7J"">nastachku.ru/users/new</a> #nastachku"
http://twitter.com/nastachku/statuses/321178394047942656	2013-04-08 12:31:11 +0400	"Бьем рекорды! Нас 2500! До конференции меньше недели, не упусти последний шанс попасть в список участников <a href=""http://t.co/TDZrHY8s7J"">nastachku.ru/users/new</a> #nastachku"
http://twitter.com/mokevnin/statuses/321171651284836352	2013-04-08 12:04:23 +0400	"Выступаю #nastachku с докладом &quot;Ментальное программирование&quot;. Голосуем товарищи). <a href=""http://t.co/l7VkTwDRmF"">nastachku.ru/schedule#conf-...</a>"
http://twitter.com/nastachku/statuses/321164594561306626	2013-04-08 11:36:20 +0400	Дмитрий Коробицын@kdk_ru (Поставщик счастья)расскажет о бизнес-моделях и зонах внимания руководителя интернет-магазина #nastachku #ulsk
http://vk.com/wall-36051360_183	2013-04-08 11:25:23 +0400	""
http://twitter.com/svsolnishko/statuses/321137977612972032	2013-04-08 09:50:34 +0400	"RT @vdv73rus: Кстати да, выложено расписание докладов конеференции «Стачка!» - 2013 <a href=""http://t.co/MWkDdkZkHS"">nastachku.ru/schedule</a> #nastachku"
http://twitter.com/divanoblomova1/statuses/321137250060615682	2013-04-08 09:47:41 +0400	О, полпред Путина в ПФО Михаил Бабич IT-форумом @nastachku заинтересовался. Хочет посетить.
http://twitter.com/KSayganov/statuses/321132040143642624	2013-04-08 09:26:59 +0400	#nastachku проходит в учебное время! Как же вы не подумали о бедных школьниках:(
http://twitter.com/vdv73rus/statuses/321130512515227649	2013-04-08 09:20:55 +0400	"Мой доклад «Front-End Trends» на конференции #nastachku 12.04, 11:00, Ленинский мемориал, зал Октябрьский. Велкам! <a href=""http://t.co/gvQW3MUBWE"">pic.twitter.com/gvQW3MUBWE</a>"
http://vk.com/wall-42842421_329	2013-04-08 09:01:39 +0400	  Можете смело заезжать к нам на кофе хоть в три часа ночи, у нас очень много работы по организации http://<b>nastachku</b>.ru
http://twitter.com/buxler/statuses/321031198463889408	2013-04-08 02:46:16 +0400	"Обновили программу #nastachku <a href=""http://t.co/ifOybdEZJm"">nastachku.ru/schedule</a>"
http://twitter.com/avasenin/statuses/320935923514753025	2013-04-07 20:27:41 +0400	"#ulsk опять медиа столица <a href=""http://t.co/BmFFaLtJgM"">totaldict.ru/news/383/</a> Не пускайте Морозова #nastachku."
http://twitter.com/kortunov/statuses/320920229922340864	2013-04-07 19:25:19 +0400	Хочу поехать #nastachku в Ульяновск. Подскажите хорошую гостиницу!
http://twitter.com/SunTechniX/statuses/320905032369311744	2013-04-07 18:24:56 +0400	@levwalkin @nastachku &quot;Будущее без сайтов&quot; забыл пометить... :)
