link,date,content
http://twitter.com/Mei_Li_Kitten/statuses/321505227943583745,2013-04-09,@nastachku хостинг случайно не clodo.ru?
http://twitter.com/nastachku/statuses/321504506108059648,2013-04-09,Сайт nastachku.ru недоступен из-за технических проблем у хостера. В течение часа обещают все исправить #nastachku
http://twitter.com/GoblinGame/statuses/321502581887213568,2013-04-09,Чота @nastachku не пингуется даже :(
http://twitter.com/_nikbelikov/statuses/321491062071906304,2013-04-09,Упала? nastachku.ru
http://twitter.com/levwalkin/statuses/321416166302183424,2013-04-09,"@_vsv_ @nastachku а, сорри, это в раздел «Microsoft: несбыточные мечты. Too little, too late» ;)"
http://twitter.com/_vsv_/statuses/321415756086657024,2013-04-09,@levwalkin @nastachku про Azure особенно порадовало
http://twitter.com/alexnosov/statuses/321339884147191810,2013-04-08,"Думал поехать @nastachku и изучить для клиентов оба аэропорта и авиакомпании «Полёт» и UTair. Рейс отменили, так что только хардкор, UTair."
http://twitter.com/GEN_DIR/statuses/321335936636030976,2013-04-08,Полпред ПФО Бабич и губернатор УО тоже придут #nastachku
http://twitter.com/KSayganov/statuses/321306255194984449,2013-04-08,"Кто едет #nastachku из других городов, нужна  помощь - пишите. Скажу что посмотреть, где покушать и вообще что угодно)"
http://twitter.com/kuzma_73/statuses/321259946215886848,2013-04-08,. @dmitriystepanov #nastachku нагуй гламур. Только @HYTPb ! Только hardcore!
http://vk.com/wall-36051360_186,2013-04-08,Работающий разработчик? Аццкий хардкорный программер? Админ? Прошаренный студент ... показать полный текст
http://twitter.com/dmitriystepanov/statuses/321255305633746944,2013-04-08,А кто-нибудь собирается на афтерпати после #nastachku ?
http://twitter.com/allintop/statuses/321231589126311936,2013-04-08,@AlexTachalova @nastachku посмотрим
http://twitter.com/AlexTachalova/statuses/321231063395467265,2013-04-08,"@allintop @nastachku Ничего в Ульяновске обещают,что будет посолнечнее)"
http://twitter.com/allintop/statuses/321230574356410368,2013-04-08,@AlexTachalova @nastachku ну у нас неделю назад было покруче :)
http://twitter.com/alexnosov/statuses/321229879133757441,2013-04-08,@rakotomancer Ненене! @nastachku ждёт меня. С новыми авиабилетами выступать лечу. Теперь UTair!
http://twitter.com/AlexTachalova/statuses/321229759675768833,2013-04-08,@allintop @nastachku Дело идет в гору в отличие от Питерской весны:) pic.twitter.com/r1KYYKFLqk
http://twitter.com/allintop/statuses/321229194875002880,2013-04-08,@AlexTachalova @nastachku молодца :)
http://twitter.com/AlexTachalova/statuses/321228964662226944,2013-04-08,Скоро выступать на @nastachku. Есть уже немного контента:) pic.twitter.com/IIGyPEEJ6Q
http://twitter.com/alexnosov/statuses/321228471579836418,2013-04-08,@OneTwoTrip @ikozlov Ща забукаю и дам ) Полетите со мной #nastachku про SMM рассказывать?))
