link	date	content
http://twitter.com/buxler/statuses/318595784675303424	2013-04-01 09:28:48 +0400	"RT <ns0:user name=""Wolf_Musing"" server=""twitter.com"">@Wolf_Musing</ns0:user>: <ns0:user name=""buxler"" server=""twitter.com"">@buxler</ns0:user> стоп! Билла Гейтса же обещали! <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag>"
http://twitter.com/Wolf_Musing/statuses/318595352850726912	2013-04-01 09:27:05 +0400	"<ns0:user name=""buxler"" server=""twitter.com"">@buxler</ns0:user> стоп! Билла Гейтса же обещали! <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag>"
http://twitter.com/TurkovskayaOlga/statuses/318594273383690241	2013-04-01 09:22:48 +0400	"<ns0:tag name=""ulsk"" server=""twitter.com"">#ulsk</ns0:tag> <ns0:tag name=""uln"" server=""twitter.com"">#uln</ns0:tag> “<ns0:user name=""buxler"" server=""twitter.com"">@buxler</ns0:user>: Ходят слухи, что <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag> приглашен Марк Цукерберг, кто-нить слышал такое?”"
http://twitter.com/buxler/statuses/318593943640080384	2013-04-01 09:21:30 +0400	"Ходят слухи, что <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag> приглашен Марк Цукерберг, кто-нить слышал такое?"
http://twitter.com/GEN_DIR/statuses/318460945963835392	2013-04-01 00:33:00 +0400	"<ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag> почти 2000 участников, последние 33% (в этом году это 1000) как показывает опыт 2012, регистрируются за пару дней:) ТОРОПИТЕСЬ!"
http://twitter.com/Jay7t/statuses/318409922628947968	2013-03-31 21:10:15 +0400	"Из Новоульяновска на <ns0:tag name=""nastachku"" server=""twitter.com"">#nastachku</ns0:tag> зарегистрировался всего один человек. Как-то мало для Новоульяновска, по-моему :)"
http://twitter.com/GBShendrik/statuses/318313970853367808	2013-03-31 14:48:59 +0400	"Дружным коллективом <ns0:user name=""PST_Media"" server=""twitter.com"">@PST_Media</ns0:user> едем на стачку в Ульяновск, уже под 2 тысячи участников! Событие обещает быть интересным, nastachku.ru"
http://twitter.com/8xx8ru/statuses/318018251311423488	2013-03-30 19:13:54 +0400	"<ns0:user name=""newrelic"" server=""twitter.com"">@newrelic</ns0:user>  прислали футболку. Пойду в ней <ns0:user name=""nastachku"" server=""twitter.com"">@nastachku</ns0:user>"
http://juick.com/netneladno/2291340	2013-03-30 01:56:10 +0400	  мужыки, едет кто <b>nastachku</b>.ru ?
http://twitter.com/frewq28/statuses/317731267389046785	2013-03-30 00:13:31 +0400	"RT <ns0:user name=""levwalkin"" server=""twitter.com"">@levwalkin</ns0:user>: Nastachku.ru… <a href=""http://t.co/QIY3GenWfD"" xhref=""http://j.mp/ZG4rj3"">j.mp/ZG4rj3</a>"
